Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),BASEMENT_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),CORE_BOTTOM_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),CORE_MID_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),CORE_TOP_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_1_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_2_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_3_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_BOT_ZN_4_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_1_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_2_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_3_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_MID_ZN_4_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_1_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_2_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_3_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),PERIMETER_TOP_ZN_4_PLUGMISC_EQUIP:Electric Equipment Electric Power [W](TimeStep),EMS:currentDayOfMonth [](TimeStep),EMS:currentDayOfWeek [](TimeStep),EMS:currentTimeOfDay [](TimeStep),EMS:currentHoliday [](TimeStep),BASEMENT:Zone Air Temperature [C](TimeStep),CORE_BOTTOM:Zone Air Temperature [C](TimeStep),CORE_MID:Zone Air Temperature [C](TimeStep),CORE_TOP:Zone Air Temperature [C](TimeStep),GROUNDFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),MIDFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_BOT_ZN_4:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_MID_ZN_4:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_TOP_ZN_4:Zone Air Temperature [C](TimeStep),TOPFLOOR_PLENUM:Zone Air Temperature [C](TimeStep),Whole Building:Facility Total Building Electric Demand Power [W](TimeStep),Whole Building:Facility Total HVAC Electric Demand Power [W](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),HTGSETP_SCH:Schedule Value [](TimeStep),HW-LOOP-TEMP-SCHEDULE:Schedule Value [](TimeStep),CW-LOOP-TEMP-SCHEDULE:Schedule Value [](TimeStep),CLGSETP_SCH:Schedule Value [](TimeStep),BLDG_LIGHT_SCH:Schedule Value [](TimeStep),COOLSYS1 CHILLER 1:Chiller Evaporator Outlet Temperature [C](TimeStep),COOLSYS1 CHILLER 2:Chiller Evaporator Outlet Temperature [C](TimeStep),HEATSYS1 BOILER:Boiler Outlet Temperature [C](TimeStep) 
 07/01  00:05:00,22.7333333333333,20.2498447537494,80.1666666666667,2.30833333333333,178.333333333333,15335.6083286733,10899.1190589978,10899.1190589978,10899.1190589978,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1.,5.,8.333333333333333E-002,0.0,24.7848717039092,24.674625363503,24.699283569354,24.762515726901,24.9881771684738,24.9396262831319,24.545417353025,23.5433507625376,24.559100559576,23.5416974451679,24.4952979216115,23.320092599807,24.5431723029949,23.3544532677444,24.5696953816354,23.5837590108981,24.5865015401863,23.4103786814607,24.8302911291758,661572.922620456,2.25730056112338,661575.179921017,15.6,82.2,6.3,26.,0.8,10.1194320433259,10.1194320433259,78.1858479265176 
 07/01  00:10:00,22.7666666666667,20.171290993682,79.3333333333333,2.51666666666667,186.666666666667,15335.6083286733,10899.1190589978,10899.1190589978,10899.1190589978,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1.,5.,0.166666666666667,0.0,25.0512668619852,25.2476901753145,25.2900514568008,25.3963157869711,25.1240551128693,25.0804546195583,25.100262876032,24.3589649025254,25.0776315000881,24.4263132071068,25.057437963279,24.1466483151285,25.0672917592898,24.267673844735,25.1562531854572,24.4006823254107,25.1382427721374,24.3452595784523,24.9239980593178,661572.922620456,2.2552674124245,661575.177887868,15.6,82.2,6.3,26.,0.8,10.1194320433259,10.1194320433259,78.1858479265176 
 07/01  00:15:00,22.8,20.0920880576265,78.5,2.725,195.,15335.6083286733,10899.1190589978,10899.1190589978,10899.1190589978,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1.,5.,0.25,0.0,25.2460613752283,25.6302083417867,25.6823528456963,25.8104570009189,25.218893577681,25.178515014451,25.4194910895223,24.8099129208653,25.3776269243543,24.9093105021637,25.3794386794813,24.6004559896166,25.3689593270771,24.7611521874541,25.4859889054774,24.8451224888617,25.4502210325264,24.8458318141443,24.9812825036695,661572.922620456,2.25376112909124,661575.176381585,15.6,82.2,6.3,26.,0.8,10.1194320433259,10.1194320433259,78.1858479265176 
 07/01  00:20:00,22.8333333333333,20.0122132707474,77.6666666666667,2.93333333333333,203.333333333333,15335.6083286733,10899.1190589978,10899.1190589978,10899.1190589978,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1.,5.,0.333333333333333,0.0,25.4120047275017,25.988455400292,26.045642622231,26.1857270865075,25.3087718631759,25.2712136463539,25.6790517986472,25.1620891298939,25.6219344638492,25.2820093674372,25.6387988934076,24.952362319735,25.6123668725596,25.137054072788,25.7463994290416,25.185608449416,25.6972028101975,25.2229792123298,25.0351226003972,661572.922620456,2.25277758533604,661575.175398041,15.6,82.2,6.3,26.,0.8,10.1194320433259,10.1194320433259,78.1858479265176 
 07/01  00:25:00,22.8666666666667,19.9316656965657,76.8333333333333,3.14166666666667,211.666666666667,15335.6083286733,10899.1190589978,10899.1190589978,10899.1190589978,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1.,5.,0.416666666666667,0.0,25.4930917774258,26.2171468494829,26.2754167649709,26.4236832550419,25.3672696070023,25.3313282251908,25.836595186645,25.3656733272321,25.7709581200124,25.4924267990468,25.7926465540489,25.1556957359051,25.7560868787272,25.3457736829195,25.895450808369,25.3760614444415,25.8382552634943,25.4290669352311,25.0731219212908,661572.922620456,2.2522352936245,661575.174855749,15.6,82.2,6.3,26.,0.8,10.1194320433259,10.1194320433259,78.1858479265176 
 07/01  00:30:00,22.9,19.8504550328849,76.,3.35,220.,15335.6083286733,10899.1190589978,10899.1190589978,10899.1190589978,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1.,5.,0.5,0.0,25.5459102209053,26.3862328934511,26.446524781321,26.6014636028163,25.4178738926946,25.3833242086932,25.9583264479604,25.5252579915932,25.8874484610953,25.6611884397251,25.9160615074446,25.3208077918167,25.873016852955,25.5186021691273,26.0174096371433,25.5338341740552,25.9548140133503,25.5952223956307,25.1086110501478,661572.922620456,2.25213657633728,661575.174757032,15.6,82.2,6.3,26.,0.8,10.1194320433259,10.1194320433259,78.1858479265176 
 07/01  00:35:00,22.9333333333333,19.7685478079369,75.1666666666667,3.55833333333333,228.333333333333,15335.6083286733,10899.1190589978,10899.1190589978,10899.1190589978,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1.,5.,0.583333333333333,0.0,25.5733523389328,26.4834068994994,26.2638956902566,25.8268291083974,25.452530369058,25.4624772626188,26.0305279024619,25.6245816873579,25.956707824299,25.7656509990784,25.5832837399415,24.6850351343828,25.6036426748276,24.7813069755326,24.8953739854708,23.5710618239197,24.9723908279794,23.2274327991853,25.260197352185,661572.922620456,251465.068327915,913037.990948371,15.6,82.2,6.3,26.,0.8,6.3,6.3,78.1858479265176 
 07/01  00:40:00,22.9666666666667,19.6859534820878,74.3333333333333,3.76666666666667,236.666666666667,15335.6083286733,10899.1190589978,10899.1190589978,10899.1190589978,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1.,5.,0.666666666666667,0.0,25.6004622283469,25.8556674763127,25.5202439258076,25.232565778539,25.5584489225875,25.4927789812963,25.0493207156866,23.7586219046613,25.1137821978844,23.6775668462621,24.4602113841608,22.8881320242086,24.6475841324601,22.7778465035276,24.1979734568534,22.6607817809387,24.3380856104044,22.2599787708651,25.1599343146343,661572.922620456,328868.603407654,990441.526028109,15.6,82.2,6.3,26.,0.8,6.3,6.3,78.1858479265176 
 07/01  00:45:00,23.,19.6026694467392,73.5,3.975,245.,15335.6083286733,10899.1190589978,10899.1190589978,10899.1190589978,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1.,5.,0.75,0.0,25.6201706124792,25.3318198727244,25.1169222629083,24.9125377126785,25.4586035006129,25.3095278891019,24.3606603120746,22.7843705614725,24.4953469386099,22.6556982806214,24.0130551772649,22.3408042414761,24.245035921443,22.2096202806231,23.9486785028828,22.4213790761797,24.1032136702353,22.0326721501762,24.9999622596725,661572.922620456,321618.578674762,983191.501295218,15.6,82.2,6.3,26.,0.8,6.3,6.3,78.1858479265176 
 07/01  00:50:00,23.0333333333333,19.5186647384434,72.6666666666667,4.18333333333333,253.333333333333,15335.6083286733,10899.1190589978,10899.1190589978,10899.1190589978,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1348.9583405952,869.30104275936,1348.9288435616,869.30104275936,1.,5.,0.833333333333333,0.0,25.6385155109598,24.9699756436366,24.873108082864,24.7177581302281,25.2513414063742,25.1001391835885,24.050035025711,22.457226210198,24.2044398367305,22.3294709665868,23.811065224113,22.1274770988492,24.0588507806315,21.9915406489049,23.8205126322701,22.2969881816146,23.9827371402885,21.908558796546,24.8638410595844,661572.922620456,321335.734742534,982908.657362989,15.6,82.2,6.3,26.,0.8,6.3,6.3,78.1858479265176 
